Title,Description,Price,PCode
Procesor Intel Core i7-5820K," Përshkrimi i produktit  Intel është kompani e cila nuk ka nevojë të prezantohet pasi ajo për shumë vite ka prodhuar çipa dhe procesorë të kualitetit të lartë. Intel Core i7 5820K është një anëtar tjetër i familjes së këtyre procesorëve. Procesori është i projektuar për pllakat amë me prizën e re LGA 2011-V3. Arkitektura e re e procesorit Haswell-E ofron një rritje të performancës së procesorit, e cila kalon në një proces të prodhimit prej 22nm duke përdorur një transistor tre dimensional me tre porte. Teknologjia Intel Turbo Boost 2 automatikisht mund ta rris frekuencën e bërthamës së procesorit dhe fuqinë e llogaritjes nga ana e tij. Procesori ka 6 bërthama me përkrahje për HyperThreading, ndërsa secila bërthamë e tij punon me frekuencë prej 3.3 GHz. Ashtu si gjenerata paraprake e procesorëve Intel Core i7, në këtë procesor është i integruar një kontroller i memories direkt në çip.   ",462.24,158564
"Procesor Intel Core i3-9100 "," Përshkrimi i produktit  Procesor për PC i cilësisë së lartë, i cili ju ofron një perfomancë tejet të mirë. Vjen nga gjenerata e 9-të, i përshtatshëm për hapësirën LGA 1151. Ka 4 bërthama, funksionon në frekuencë 3.6 dhe 4.2 GHz (në TurboBoost), ka 6 MB SmartChace dhe mbështet memorie deri në 2400 MHz DDRA. Poashtu mbështet PCI-Express 3.0 dhe ka të integruar grafikë Intel Graphics UHD 630.   ",147.4,267054
"Ftofëse Noctua NH-L9i për procesor, 92 mm"," Përshkrimi i produktit  Ftofësja Noctua NH-L9i është e dizajnuar për procesorë të shtëpizave të vogla dhe HTPC. Një pjesë e madhe e saj përbëhet nga alumini. Përmban në vete një ftohëse të diametrit 92 mm, bërthamën prej bakrit dhe dy gypave të montuara në pjesë pasive, të cilat transmetojnë nxehjen në të. Shpejtësia e ftofëses prej 92 mm është 2500 rrotullime për minutë dhe nivel të zhurmës 23.6 db. Përveç kësaj, mban hapsirë edhe për integrimin e një ftohëse tjetër me diametër 92 mm. Konfigurimi i ftofëses bëhet përmes PWM, e cila gjendet tek pllakëza amë. Pjesa pasive ka kapacitet për mbajtjen e nxehtësisë në volum të lartë, që e bën ideale për çdo procesorë modern. Përkrah këto lloje të socket: Intel 1150, Intel 1151, 1155 dhe 1156. Ka dimensione prej 95 x 37 x 95 mm, me peshë prej 420 g.    ",45.54,118390
Procesor Intel Core i5-9600KF," Përshkrimi i produktit    ",179.02,252285
Procesor AMD Ryzen 7 5800X," Përshkrimi i produktit  Ky është një procesor i fuqishëm i serive 5000 për fole AM4. Ofron 8 bërthama fizike (16 threads), një frekuencë prej 3.8 GHz (rritje 4.7 GHz) dhe një 32 MB cache (L3). Procesi i prodhimit 7 nm. TDP 105W.   ",465.02,302194
Procesor AMD Ryzen 5 3600," Përshkrimi i produktit  AMD ka krijuar një sërë procesorësh AMD Ryzen që shprehin fuqinë dhe performancën e ""Zen"" x86 core me performancë të lartë. Një numër përparimesh në arkitekturë të kombinuara me platforma dhe teknologji të përpunimit i shtyjnë përdoruesit në një horizont të ri në botën e procesorëve.Ky është një procesor i fuqishëm i gjeneratës së tretë AMD Ryzen 5 (Matiss) për socket AM4. Ai ofron 6 bërthama fizike (12 threads), 3.6 GHz (4.2 GHz boost) dhe 32 MB cache (L3). Një proces prodhimi prej 7 nm është përdorur për prodhimin e tij. TDP 65W. Mbështetje PCIe 4.0 x16. Përfshin ftohësin Wraith Stealth.    ",214.56,264414
"Procesor Intel Core i5-10400, gjenerata e 10-të"," Përshkrimi i produktit  Comet Lake është gjenerata e 10-të e procesorëve për desktop nga kompania Intel. Nëse ju jeni një lojëtar duke kërkuar një përvojë fantastike të lojrëave me performanca superiore për streaming efektiv dhe regjistrim të pandërprerë të highlights në një video, ose ju jeni një krijues i përmbajtjes që dëshiron të kalojë më pak kohë duke pritur për të krijuar dhe shpërndarë atë në rrjete sociale, ky procesor i gjeneratës së 10-të Intel mund ta ofrojë këtë gjë për ju.Përparësitë e Intel Core i5-10400:Cilësia e garantuar e produkteve IntelGjenerata e 10-të Comet Lake6 bërthama fizike dhe 12 threadsFrekuenca deri në 4.3 GHz në Turbo ModeGrafikë të integruar Intel UHD Graphics 630Karakteristikat kryesore Është një procesor i gjeneratës së 10-të Comet Lake e krijuar për socket-in LGA 1200. Ky procesor ofron 6 bërthamë fizike (12 threads). Frekuenca e tij është 2.9 GHz dhe deri në 4.3 GHz në modalitetin Turbo. Ajo ofron një Cache 12 MB dhe një proces prodhimi 14 nm u përdor për ta krijuar atë. Suporton memorie deri në DDR4 2666 MHz. Suporton patjetër edhe PCI-Express 3.0. TDP e deklaruar nga prodhuesi është 65W.   ",183.67,286921
"Ftohëse Noctua NH-U12S për procesor, 120 mm"," Përshkrimi i produktit  Ftohësja Noctua NH-U12S është e dizajnuar për procesorë, ku pjesa e madhe e saj përbëhet nga alumini. Përmban në vete një ftohëse të diametrit 120 mm, bërthamën prej bakrit dhe pesë gypave të montuara në pjesë pasive, të cilat transmetojnë nxehjen në të. Shpejtësia e ftohëses prej 120 mm është 1500 rrotullime për minutë dhe nivel të zhurmës 22.4 db. Konfigurimi i ftohëses bëhet përmes PWM, e cila gjendet tek pllakëza amë. Përkrah këto lloje të socket: AMD AM2, AMD AM2+, AMD AM3, AMD AM3+, AMD FM1, AMD FM2, AMD FM2+, Intel 1150, Intel 1151, Intel 1155, Intel 1156, Intel 2011 dhe Intel 2011-3. Ka dimensione prej 158 x 125 x 71 mm, me peshë prej 755 g.   ",78.49,126808
Procesor Intel Core i5-10600K," Përshkrimi i produktit  Është një procesor i gjeneratës së 10-të Comet Lake i projektuar për prizën LGA 1200. Ai ofron 6 bërthamë fizike (12 fibra). Frekuenca e tij është 4.1 GHz dhe deri në 4.8 GHz në modalitetin Turbo. Ai ofron një buffer 12 MB SmartCache dhe një proces prodhimi 14 nm u përdor për ta krijuar atë. Mbështet memorie DDR4 me kapacitet deri në 2666 MHz. Mbështetja për PCI-Express 3.0 është e rëndësishme natyrisht. TDP e deklaruar nga prodhuesi është 125 W. Procesori përfshin grafikë të integruar Intel UHD Graphics 630. Ai ofron mbështetje për rezolucion 4K deri në 4096 x 2304 @ 60 Hz për DisplayPort dhe 4096 x 2160 @ 30 Hz për HDMI. Grafikëve mund t'i kushtohen deri në 64 GB memorie. Ai lejon lidhjen e deri në 3 monitorëve njëkohësisht dhe mbështet teknologjitë DirectX 12 dhe OpenGL 4.5.   ",247.69,289711
"Procesor Intel Core i9-10850K, Marvel's Avengers Collector's Edition"," Përshkrimi i produktit  Është një procesor i gjeneratës së 10-të Comet Lake i krijuar për prizë LGA 1200. Ai ofron 10 bërthama fizike (20 fibra). Frekuenca e tij është 3.6 GHz dhe deri në 5.2 GHz në modalitetin Turbo. Ajo ofron një buffer 20 MB SmartCache dhe një proces prodhimi 14 nm është përdorur për ta krijuar atë. Mbështet memoriet DDR4 me frekuencë deri në 2933 MHz. Mbështetja e PCI-Express 3.0 është sigurisht e pranishme. TDP e deklaruar nga prodhuesi është 125 W. Ky version i veçantë është i bazuar në stilin ""Marvel's Avangers"" si dhe gjithashtu përfshinë një kartë përkujtimore.   ",435.36,297086
Ftohës Arctic A13 X," Përshkrimi i produktit  Ky ftohës i fuqishëm për procesor ka tre gypa bakri dhe madhësi 92 x 92 mm. Arrin shpejtësi 300 - 2000 rrotullime për minutë si dhe nivel zhurme 0.3 son. Është i dizajnuar për kapacitete 150W. Përputhet me priza AMD AM4.    ",27.14,292595
"Ftofëse Noctua NH-D15 për procesorë, 2x140 mm"," Përshkrimi i produktit  Ftofësja Noctua NH-D15 është e dizajnuar për procesorë, ku një pjesë e madhe e saj përbëhet nga alumini. Përmban në vete dy ftohëse të diametrit 120 mm, bërthamën prej bakrit dhe katër gypa dopio të montuara në pjesë pasive, të cilat transmetojnë nxehjen në të. Shpejtësia e ftohëseve prej 140 mm është 1500 rrotullime për minutë dhe nivel të zhurmës 24.6 db. Përkrah këto lloje të socket: AMD AM2, AM2 + AMD, AMD AM3 AMD AM3 +, FM1 AMD, AMD FM2, FM2 + AMD, Intel 1150, Intel 1151, Intel 1155, Intel 1156, Intel 2011. Ka peshë prej 1,320 g.   ",115.15,151820
Procesor Intel Core i5-10400F," Përshkrimi i produktit  Procesori i gjeneratës së 10-të Comet Lake, është i projektuar për prizat e tipit LGA 1200. Procesori ofron 6 bërthama fizike (12 fibra). Frekuenca e tij është prej 2.9 GHz dhe deri në 4.3 GHz në modalitetin Turbo. Procesori ofron një buffer SmartCache me kapacitet 12 MB. Procesi i prodhimit 14 nm është përdorur për ta krijuar atë. Procesori mbështet memoriet DDR4 me kapacitet deri në 2666 MHz. Poashtu ofron mbështetje për PCI-Express 3.0. TDP e deklaruar nga prodhuesi është 65 W.   ",161.76,291203
